DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
BLR;BOG;12000;1632;6877199,0
BLR;BOG;500;0,05;211,9
BLR;BOG;246;446;1882739,9
BLR;BOG;2,5;27,2;114821,8
BOL;BOG;164;646,71;2730467,8
BOL;BOG;683;2658,2;11223159,6
BOL;BOG;160;1248;5269168,3
BOL;BOG;250;1987,5;8391403,9
BOL;BOG;860;2944,2;12430677,4
BOL;BOG;180;675;2849910,8
BOL;BOG;500;1854,81;7831174,8
BOL;BOG;180;708,3;2990506,3
BOL;BOG;253;962,78;4064943,8
BOL;BOG;340;2556;10791662,0
BOL;BOG;180;1288,8;5441429,6
BOL;BOG;700;4515;19062736,4
BOL;BOG;160;662,4;2796712,4
BOL;BOG;250;1677,5;7082556,0
BOL;BOG;180;1432,8;6049410,6
BOL;BOG;643;15367,33;65295785,2
BOL;BOG;170;5910,3;25112864,7
BOL;BOG;50;371;1576379,0
BOL;BOG;172;26660;109855729,2
BOL;BOG;89;408,29;1682407,9
BOL;BOG;99;734,25;3025565,2
BOL;BOG;32;248,64;1024551,0
BOL;BOG;10;64,3;264955,9
BOL;BOG;102;372,98;1536908,8
BOL;BOG;198;756,86;3118732,5
BOL;BOG;66;151,14;622790,5
BOL;BOG;13;29,25;120528,1
BOL;BOG;132;552,9;2278290,8
BOL;BOG;10;97,6;402172,5
BOL;BOG;45;283,95;1170050,0
BOL;BOG;15;48,75;200880,2
BOL;BOG;250;1168,28;4814037,9
BOL;BOG;160;769,2;3247631,6
BOL;BOG;1666;4560,35;19254208,1
BOL;BOG;204;530,4;2239396,5
BOL;BOG;19;501,74;2118391,4
BOL;BOG;18;358,74;1514632,6
BOL;BOG;149;901,45;3821111,3
BOL;BOG;12;65,64;278238,1
BOL;BOG;38;178,48;756549,9
BOL;BOG;65;419,9;1779893,1
BOL;BOG;39;138,44;586826,4
BOL;BOG;32;139,52;591404,4
BOL;BOG;90;371,35;1574096,9
BOL;BOG;239;752,38;3189226,0
BOL;BOG;33;113,69;481914,9
BOL;BOG;245;703,79;2983260,2
BOL;BOG;101;577,31;2447130,5
BOL;BOG;319;789,63;3347123,1
BOL;BOG;48;181,6;769775,2
BOL;BOG;266;878,68;3724592,7
BOL;BOG;11;102,74;435499,4
BOL;BOG;74;302,66;1282930,3
BOL;BOG;59;594,12;2518385,6
BOL;BOG;4;19,64;83251,0
BOL;BOG;38;163,02;691017,3
BOL;BOG;20;36,8;155989,7
BOL;BOG;85400;12943;53333184,7
BOL;BOG;58404;10426,44;42963397,2
BOL;BOG;319,97;713,33;3069074,6
BOL;BOG;1535,19;3484,29;15022027,6
BOL;BOG;149,61;266,34;1152376,1
BOL;BOG;298,17;620,91;2718571,4
BOL;BOG;902,53;2444,59;10301428,9
BOL;BOG;650,56;1217,83;5174076,9
BOL;BOG;28,29;63,36;272467,9
BOL;BOG;110,11;212,28;911534,2
BOL;BOG;164,54;309,55;1335168,0
BOL;BOG;13,68;24,56;103495,1
BOL;BOG;175,04;402,69;1732180,0
BOL;BOG;4,66;11,02;47389,5
BOL;BOG;180,4;2438,96;10536193,6
BOL;BOG;110,18;1197,5;5049613,8
BOL;BOG;397,22;37375,6;163274173,6
BOL;BOG;1049,1;142869,02;580010828,9
BOL;BOG;135;15572,38;64167860,5
BOL;BOG;1729,82;90465,46;368271430,7
BOL;BOG;280,5;22356,21;92121446,0
BOL;BOG;100;3903;15821825,3
BOL;BOG;43,97;2191,25;8882801,6
BOL;BOG;852,6;20665,87;83896974,0
BOL;BOG;146,87;5342,1;22677212,5
BOL;BOG;70,91;3407,16;14449278,7
BOL;BOG;77,34;20232,2;82016483,1
BOL;BOG;19,64;1103,64;4692776,6
BOL;BOG;2132,01;48127,36;203198045,4
BOL;BOG;2816,84;99775,31;419625840,8
BOL;BOG;1648,59;79751,16;334247952,7
BOL;BOG;2209,78;83294,91;350297249,6
BOL;BOG;969,92;6528,48;27619452,8
BOL;BOG;220;27000;117703799,0
BOL;BOG;77;175;767665,5
BOL;BOG;4,56;8,19;34512,4
BOL;BOG;95;494,95;2006408,5
BOL;BOG;99;634,69;2579484,7
BOL;BOG;285;1381,82;5601566,6
BOL;BOG;5;14,4;58374,1
BOL;BOG;270;1105,56;4547109,4
BOL;BOG;98;425,31;1724104,7
BOL;BOG;2177;5506,25;22321016,0
BOL;BOG;363;1137,04;4609287,3
BOL;BOG;176;706,55;2864184,1
BOL;BOG;64;238,94;968605,4
BOL;BOG;1867;4380,33;17779018,1
BOL;BOG;504;2108,35;8546744,9
BOL;BOG;96;240,12;975790,5
BOL;BOG;28;267,68;1085110,5
BOL;BOG;16;71,83;295984,1
BOL;BOG;244;1621,16;6571793,6
BOL;BOG;8;47,52;192634,7
BOL;BOG;126;253,89;1029209,1
BOL;BOG;120;1000;4359400,0
BOL;BOG;98,35;1752;7685428,3
BOL;BOG;4;20,84;91418,0
BOL;BOG;13;89,44;392342,9
BOL;BOG;26;124,8;547455,2
BOL;BOG;15;104,4;457967,3
BOL;BOG;300;2267,4;9667251,6
BOL;BOG;289;1171,43;5064944,5
BOL;BOG;57;292,41;1282703,3
BOL;BOG;92;336,25;1427300,9
BOL;BOG;41;177,12;776965,2
BOL;BOG;812;1957,62;8575352,1
BOL;BOG;236;1152,02;5046474,0
BOL;BOG;45;133,82;579867,6
BOL;BOG;148;483,35;2030809,5
BOL;BOG;84;483,78;2048744,7
BOL;BOG;825;1902,56;8277937,4
BOL;BOG;532;2168,44;9474631,3
BOL;BOG;107;432,21;1860013,5
BOL;BOG;17;82,11;344987,6
BOL;BOG;314;2317,64;10144503,4
BOL;BOG;7;31,08;130583,6
BOL;BOG;178;1433,07;6169136,9
BOL;BOG;33;196,02;859873,1
BOL;BOG;8;24,88;109140,1
BOL;BOG;218;1248,89;5260852,1
BOL;BOG;46;210,91;920802,9
BOL;BOG;29;62,64;274780,4
BOL;BOG;161;3896,33;16189017,4
BOL;BOG;25;697,25;2897031,9
BOL;BOG;20;396,55;1634031,9
BOL;BOG;3,83;168;736958,9
BOL;BOG;3;5374;23573910,8
BOL;BOG;1;394;1728344,0
BOL;BOG;2;100;438666,0
BOL;BOG;5,12;685;3004862,1
BOL;BOG;3,31;145;636065,7
BOL;BOG;180;5130;21314842,2
BOL;BOG;81;8222;35842986,8
BOL;BOG;151;7852;34230008,8
BOL;BOG;15,5;430,44;1782637,1
BOL;BOG;30;732;3031526,8
BOL;BOG;222;3710,18;15365450,7
BOL;BOG;382,75;7323,24;30328685,8
BOL;BOG;28;1471,2;6092871,8
BOL;BOG;336,6;794;3376159,5
BOL;BOG;100;5300;23249298,0
BOL;BOG;1;22;93546,0
BOL;BOG;586;7148,5;29463745,9
BOL;BOG;1;19;80789,7
BOL;BOG;1;21;89293,9
BOL;BOG;5;108;459225,7
BOL;BOG;504;8534;35667231,8
BOL;BOG;3;58;246621,2
BOL;BOG;1;19;80789,7
BOL;BOG;157,25;4020,58;17083444,4
BOL;BOG;20000;3388,8;14238144,9
BOL;BOG;77;637,5;2626895,3
BOL;BOG;42;262,5;1081662,8
BOL;BOG;40;4;16565,7
BOL;BOG;130;13;53838,6
BOL;BOG;52,88;5076,76;21093633,2
BOL;BOG;312;1978,32;8151905,0
BOL;BOG;1,36;34;148219,6
BOL;BOG;2180,28;17200,39;73558924,8
BOL;BOG;151,61;6495,8;27887764,3
BOL;BOG;142,75;3950,67;16741926,8
BOL;BOG;30,28;853,51;3679865,5
BOL;BOG;976,26;12327,51;52877557,8
BOL;BOG;262,47;935,08;3951634,3
BOL;BOG;115,35;533,96;2342301,0
BOL;BOG;853,12;117698,29;498905396,6
BOL;BOG;826,56;11528,64;48807857,8
BOL;BOG;149,14;7318,31;31661804,9
BOL;BOG;410,76;10847,99;46171146,1
BOL;BOG;202,8;483,25;2044045,4
BOL;BOG;151,2;2954,13;12571595,1
BOL;BOG;173,24;728,13;3145682,5
BOL;BOG;5267;383,38;1620696,8
BOL;BOG;92;556,6;2350015,3
BOL;BOG;5;26,35;111252,1
BOL;BOG;180;1031,68;4355845,8
BOL;BOG;7;45,22;190922,9
BOL;BOG;5;17,9;75575,4
BOL;BOG;105;410,33;1732450,2
BOL;BOG;5;21,7;91619,4
BOL;BOG;229;535,6;2261351,4
BOL;BOG;260;688,72;2907837,8
BOL;BOG;98;342,54;1446234,7
BOL;BOG;45;196,2;828374,1
BOL;BOG;1201;2855,5;12056178,0
BOL;BOG;478;1640,48;6926254,2
BOL;BOG;274;635,09;2681407,1
BOL;BOG;23;218;920415,6
BOL;BOG;124;592,96;2503530,5
BOL;BOG;248;2469,33;10425733,5
BOL;BOG;58;165,28;697827,0
BOL;BOG;97;436,92;1844715,6
